"DateTime","LotID","Slot#","SampleID","Operator","Tool ID","Process","Product Type","Recipe","Method","RecipeGroup","RecipeName","Library Name","Mapping File Name","Comments","Position","User Coords","Thk of sub (mm)","Thk of 1st layer","Rgh of 1st layer","Goodness of fit (%)","n@230","k@230","n@248","k@248","n@365","k@365","n@633","k@633","Rs_exp@230","Rs_cal@230","Rs_exp@248","Rs_cal@248","Rs_exp@365","Rs_cal@365","Rs_exp@633","Rs_cal@633","Phaseshift@230","Phaseshift@248","Phaseshift@365","Phaseshift@633","Eg (eV)","Pattern Match Score",
"02/15/2021 05:24:44 PM","XXXXXX.Y","25","AAA0000000","b","equipment","process","product","XXXXX","Rsnk","Operator","recipe","","mapfile.map","2","x = 0.0000,  y = 0.0000","ux = 0.0000,  uy = 0.0000","1.000","1676.4","4","97.908","2.3304","0.0125","2.2430","0.0081","2.0448","0.0000","1.9609","0.0000","22.0150","27.4436","9.7070","0.8548","45.5840","49.8615","7.0880","6.6336","3446.28","2980.84","1719.27","911.71","5.775","100.00",
"02/15/2021 05:24:46 PM","XXXXXX.Y","25","AAA0000000","b","equipment","process","product","XXXXX","Rsnk","Operator","recipe","","mapfile.map","2","x = -0.5660,  y = -0.5660","ux = -0.5660,  uy = -0.5660","1.000","1674.6","4","97.888","2.3304","0.0125","2.2430","0.0081","2.0448","0.0000","1.9609","0.0000","24.4160","29.2431","10.0920","2.7540","42.5100","47.9344","8.0470","7.7462","3443.22","2976.14","1718.18","910.44","5.775","100.00",
"02/15/2021 05:24:48 PM","XXXXXX.Y","25","AAA0000000","b","equipment","process","product","XXXXX","Rsnk","Operator","recipe","","mapfile.map","2","x = 0.0000,  y = -0.8000","ux = 0.0000,  uy = -0.8000","1.000","1674.7","4","97.895","2.3304","0.0125","2.2430","0.0081","2.0448","0.0000","1.9609","0.0000","23.8150","28.9706","9.8740","2.6830","43.4400","47.8307","8.0230","7.7172","3443.33","2976.26","1718.12","910.47","5.775","100.00",
"02/15/2021 05:24:51 PM","XXXXXX.Y","25","AAA0000000","b","equipment","process","product","XXXXX","Rsnk","Operator","recipe","","mapfile.map","2","x = 0.5660,  y = -0.5660","ux = 0.5660,  uy = -0.5660","1.000","1674.0","4","97.897","2.3304","0.0125","2.2430","0.0081","2.0448","0.0000","1.9609","0.0000","24.7230","29.5495","10.1490","3.6557","42.1770","47.0809","8.5540","8.1394","3442.22","2974.55","1717.71","910.01","5.775","100.00",
"02/15/2021 05:24:53 PM","XXXXXX.Y","25","AAA0000000","b","equipment","process","product","XXXXX","Rsnk","Operator","recipe","","mapfile.map","2","x = 0.8000,  y = 0.0000","ux = 0.8000,  uy = 0.0000","1.000","1673.2","4","97.908","2.3304","0.0125","2.2430","0.0081","2.0448","0.0000","1.9609","0.0000","25.7930","29.8401","10.2210","4.9507","40.8650","45.9360","8.6970","8.6471","3440.97","2972.56","1717.08","909.46","5.775","100.00",
"02/15/2021 05:24:55 PM","XXXXXX.Y","25","AAA0000000","b","equipment","process","product","XXXXX","Rsnk","Operator","recipe","","mapfile.map","2","x = 0.5660,  y = 0.5660","ux = 0.5660,  uy = 0.5660","1.000","1672.8","4","97.901","2.3304","0.0125","2.2430","0.0081","2.0448","0.0000","1.9609","0.0000","25.8090","29.9831","10.5830","5.7967","39.8720","45.2354","9.0550","8.9544","3440.22","2971.40","1716.69","909.14","5.775","100.00",
"02/15/2021 05:24:57 PM","XXXXXX.Y","25","AAA0000000","b","equipment","process","product","XXXXX","Rsnk","Operator","recipe","","mapfile.map","2","x = 0.0000,  y = 0.8000","ux = 0.0000,  uy = 0.8000","1.000","1672.8","4","97.915","2.3304","0.0125","2.2430","0.0081","2.0448","0.0000","1.9609","0.0000","25.8040","30.1086","10.7900","5.7103","40.2690","45.4236","9.2480","8.9160","3440.30","2971.52","1716.80","909.18","5.775","100.00",
"02/15/2021 05:24:59 PM","XXXXXX.Y","25","AAA0000000","b","equipment","process","product","XXXXX","Rsnk","Operator","recipe","","mapfile.map","2","x = -0.5660,  y = 0.5660","ux = -0.5660,  uy = 0.5660","1.000","1673.3","4","97.880","2.3304","0.0125","2.2430","0.0081","2.0448","0.0000","1.9609","0.0000","25.3560","29.7691","9.8900","4.7999","40.8640","46.0299","8.9660","8.5925","3441.10","2972.78","1717.13","909.52","5.775","100.00",
"02/15/2021 05:25:01 PM","XXXXXX.Y","25","AAA0000000","b","equipment","process","product","XXXXX","Rsnk","Operator","recipe","","mapfile.map","2","x = -0.8000,  y = 0.0000","ux = -0.8000,  uy = 0.0000","1.000","1674.0","4","97.912","2.3304","0.0125","2.2430","0.0081","2.0448","0.0000","1.9609","0.0000","24.8970","29.4087","9.9730","3.6195","42.0160","47.0144","8.3280","8.1283","3442.27","2974.60","1717.67","910.02","5.775","100.00",
"02/15/2021 05:25:04 PM","XXXXXX.Y","25","AAA0000000","b","equipment","process","product","XXXXX","Rsnk","Operator","recipe","","mapfile.map","2","x = -1.4780,  y = -0.6120","ux = -1.4780,  uy = -0.6120","1.000","1663.1","4","97.908","2.3304","0.0125","2.2430","0.0081","2.0448","0.0000","1.9609","0.0000","29.5620","27.2516","25.4530","28.0863","23.9110","28.4882","15.6460","15.7082","3424.75","2950.74","1707.05","902.82","5.775","100.00",
"02/15/2021 05:25:06 PM","XXXXXX.Y","25","AAA0000000","b","equipment","process","product","XXXXX","Rsnk","Operator","recipe","","mapfile.map","2","x = -1.1310,  y = -1.1310","ux = -1.1310,  uy = -1.1310","1.000","1664.8","4","97.912","2.3304","0.0125","2.2430","0.0081","2.0448","0.0000","1.9609","0.0000","29.0480","29.0314","21.1790","24.4727","27.3340","32.0503","14.4090","14.4869","3427.66","2953.73","1709.25","903.89","5.775","100.00",
"02/15/2021 05:25:08 PM","XXXXXX.Y","25","AAA0000000","b","equipment","process","product","XXXXX","Rsnk","Operator","recipe","","mapfile.map","2","x = -0.6120,  y = -1.4780","ux = -0.6120,  uy = -1.4780","1.000","1665.2","4","97.925","2.3304","0.0125","2.2430","0.0081","2.0448","0.0000","1.9609","0.0000","30.1010","29.0413","20.8770","23.4379","27.7530","32.5653","14.1860","14.2204","3428.17","2954.53","1709.56","904.12","5.775","100.00",
"02/15/2021 05:25:10 PM","XXXXXX.Y","25","AAA0000000","b","equipment","process","product","XXXXX","Rsnk","Operator","recipe","","mapfile.map","2","x = 0.0000,  y = -1.6000","ux = 0.0000,  uy = -1.6000","1.000","1664.0","4","97.882","2.3304","0.0125","2.2430","0.0081","2.0448","0.0000","1.9609","0.0000","29.8360","28.2121","23.3190","26.1977","25.2970","30.3573","14.9300","15.0626","3426.29","2952.30","1708.22","903.38","5.775","100.00",
"02/15/2021 05:25:13 PM","XXXXXX.Y","25","AAA0000000","b","equipment","process","product","XXXXX","Rsnk","Operator","recipe","","mapfile.map","2","x = 0.6120,  y = -1.4780","ux = 0.6120,  uy = -1.4780","1.000","1661.9","4","97.919","2.3304","0.0125","2.2430","0.0081","2.0448","0.0000","1.9609","0.0000","28.5440","25.7657","27.4560","30.4381","22.6930","25.9455","16.2080","16.5728","3422.62","2948.75","1705.38","902.08","5.775","100.00",
"02/15/2021 05:25:15 PM","XXXXXX.Y","25","AAA0000000","b","equipment","process","product","XXXXX","Rsnk","Operator","recipe","","mapfile.map","2","x = 1.1310,  y = -1.1310","ux = 1.1310,  uy = -1.1310","1.000","1659.0","4","97.888","2.3304","0.0125","2.2430","0.0081","2.0448","0.0000","1.9609","0.0000","26.4980","21.5570","32.7960","35.0431","17.7580","20.0866","18.3440","18.5686","3417.31","2944.51","1701.11","900.41","5.775","100.00",
"02/15/2021 05:25:17 PM","XXXXXX.Y","25","AAA0000000","b","equipment","process","product","XXXXX","Rsnk","Operator","recipe","","mapfile.map","2","x = 1.4780,  y = -0.6120","ux = 1.4780,  uy = -0.6120","1.000","1656.0","4","97.902","2.3304","0.0125","2.2430","0.0081","2.0448","0.0000","1.9609","0.0000","23.6650","16.4736","36.6730","38.3662","13.3750","14.6789","20.2440","20.5561","3411.32","2940.64","1696.19","898.77","5.775","100.00",
"02/15/2021 05:25:19 PM","XXXXXX.Y","25","AAA0000000","b","equipment","process","product","XXXXX","Rsnk","Operator","recipe","","mapfile.map","2","x = 1.6000,  y = 0.0000","ux = 1.6000,  uy = 0.0000","1.000","1653.7","4","97.923","2.3304","0.0125","2.2430","0.0081","2.0448","0.0000","1.9609","0.0000","21.2530","12.6356","37.9630","40.0545","11.0290","11.5144","21.5040","22.0034","3406.50","2937.95","1692.22","897.58","5.775","100.00",
